repo,tag,sha
terraform-aws-modules/terraform-aws-iam,v5.56.0,df4106cc928a35d824c3fe9521f951f080967f90
terraform-aws-modules/terraform-aws-iam,v5.55.0,416c5ccda8807632b505888d55ca83c3b71282a8
terraform-aws-modules/terraform-aws-iam,v5.54.1,f0f2aedeef0877a3ffc2cb0c3a7f65bd08c988c6
terraform-aws-modules/terraform-aws-iam,v5.54.0,304c8b5bbe99a1b17e1d24c96a4a384f108caced
terraform-aws-modules/terraform-aws-iam,v5.53.0,6b60429bfb8078c6c2b25a7e8bfdfcb03fccf1f0
terraform-aws-modules/terraform-aws-iam,v5.52.2,e803e25ce20a6ebd5579e0896f657fa739f6f03e
terraform-aws-modules/terraform-aws-iam,v5.52.1,da5e04acccbf830da97c108919bcf7ae81e66679
terraform-aws-modules/terraform-aws-iam,v5.52.0,b80e98a0b464c7f6e62a281ab7c5a5ebb1189a0e
terraform-aws-modules/terraform-aws-iam,v5.51.0,5bc0223bc5de33884db47a0ba4882c1ceb4a0ac8
terraform-aws-modules/terraform-aws-iam,v5.50.0,af07763114ecb4dc3d441a467ae18caa8205dbff
terraform-aws-modules/terraform-aws-iam,v5.49.0,fea94c85d7c002406c9dc3a1c97a2c1ea55d720c
terraform-aws-modules/terraform-aws-iam,v5.48.0,e20e0b9a42084bbc885fd5abb18b8744810bd567
terraform-aws-modules/terraform-aws-iam,v5.47.1,cfb6845f1fb0cf34438b640bd69ee81f7b38332f
terraform-aws-modules/terraform-aws-iam,v5.47.0,0773c178086fcddc29cb1fa20112b77059d17624
terraform-aws-modules/terraform-aws-iam,v5.46.0,617f4cbaef43e437233468dbeb743acf4069894e
terraform-aws-modules/terraform-aws-iam,v5.45.0,95c49ef4179ac1846a4b2d03f7baa51d7029fc98
terraform-aws-modules/terraform-aws-iam,v5.44.2,12c4177708aa08677422cdb1523bb5322ebed24a
terraform-aws-modules/terraform-aws-iam,v5.44.1,c15f9ddbe4c219caedfc587249b075b87f4b9bfd
terraform-aws-modules/terraform-aws-iam,v5.44.0,89fe17a6549728f1dc7e7a8f7b707486dfb45d89
terraform-aws-modules/terraform-aws-iam,v5.43.0,fc799c161cb5451a2c32ad48a89b2f69a91ae8bb
terraform-aws-modules/terraform-aws-iam,v5.42.0,017c21af990a2972eb2fbe8b30a9d104ab9b8320
terraform-aws-modules/terraform-aws-iam,v5.41.0,88435a9dfab0b038fae753ae79dfa1a3bea01710
terraform-aws-modules/terraform-aws-iam,v5.40.0,ada8d1f9b373359931a7e14de5c580dabafc8e42
terraform-aws-modules/terraform-aws-iam,v5.39.1,de95e21a3bc51cd3a44b3b95a4c2f61000649ebb
terraform-aws-modules/terraform-aws-iam,v5.39.0,39e42e1f847afe5fd1c1c98c64871817e37e33ca
