snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,cloudposse/iam-system-user/aws/1.2.1,cloudposse,iam-system-user,aws,23804726,False,https://github.com/cloudposse/terraform-aws-iam-system-user,2024-03-04T15:50:24.290984Z,1.2.1,"Terraform Module to Provision a Basic IAM System User Suitable for CI/CD Systems (E.g. TravisCI, CircleCI)"
2026-07-13,terraform-aws-modules/autoscaling/aws/9.2.1,terraform-aws-modules,autoscaling,aws,23397114,False,https://github.com/terraform-aws-modules/terraform-aws-autoscaling,2026-05-05T13:11:12.167434Z,9.2.1,Terraform module to create AWS Auto Scaling resources 🇺🇦
2026-07-13,cloudposse/ecs-container-definition/aws/0.61.2,cloudposse,ecs-container-definition,aws,22237873,False,https://github.com/cloudposse/terraform-aws-ecs-container-definition,2025-02-28T19:20:14.638533Z,0.61.2,Terraform module to generate well-formed JSON documents (container definitions) that are passed to the  aws_ecs_task_definition Terraform resource
2026-07-13,cloudposse/iam-s3-user/aws/1.2.1,cloudposse,iam-s3-user,aws,21665058,False,https://github.com/cloudposse/terraform-aws-iam-s3-user,2024-03-08T15:41:50.629423Z,1.2.1,"Terraform module to provision a basic IAM user with permissions to access S3 resources, e.g. to give the user read/write/delete access to the objects in an S3 bucket"
2026-07-13,terraform-aws-modules/sns/aws/7.1.0,terraform-aws-modules,sns,aws,18125399,False,https://github.com/terraform-aws-modules/terraform-aws-sns,2026-01-08T21:58:20.932537Z,7.1.0,Terraform module to create AWS SNS resources 🇺🇦
2026-07-13,cloudposse/s3-log-storage/aws/2.0.0,cloudposse,s3-log-storage,aws,13017015,False,https://github.com/cloudposse/terraform-aws-s3-log-storage,2025-08-25T19:08:57.090771Z,2.0.0,"This module creates an S3 bucket suitable for receiving logs from other AWS services such as S3, CloudFront, and CloudTrail"
2026-07-13,cloudposse/kms-key/aws/0.12.2,cloudposse,kms-key,aws,11687701,False,https://github.com/cloudposse/terraform-aws-kms-key,2024-03-04T15:50:44.288387Z,0.12.2,Terraform module to provision a KMS key with alias
2026-07-13,cloudposse/elasticache-redis/aws/2.1.0,cloudposse,elasticache-redis,aws,11182329,False,https://github.com/cloudposse/terraform-aws-elasticache-redis,2026-06-14T22:33:56.990519Z,2.1.0,Terraform module to provision an ElastiCache Redis Cluster
2026-07-13,cloudposse/route53-alias/aws/0.13.0,cloudposse,route53-alias,aws,8219670,False,https://github.com/cloudposse/terraform-aws-route53-alias,2022-01-27T21:36:11.558004Z,0.13.0,Terraform Module to Define Vanity Host/Domain (e.g. `brand.com`) as an ALIAS record
2026-07-13,cloudposse/cloudwatch-logs/aws/0.6.9,cloudposse,cloudwatch-logs,aws,7435649,False,https://github.com/cloudposse/terraform-aws-cloudwatch-logs,2025-02-19T13:22:54.642699Z,0.6.9,Terraform Module to Provide a CloudWatch Logs Endpoint
2026-07-13,terraform-aws-modules/notify-slack/aws/7.5.1,terraform-aws-modules,notify-slack,aws,7038793,False,https://github.com/terraform-aws-modules/terraform-aws-notify-slack,2026-07-09T23:16:28.02442Z,7.5.1,Terraform module to create AWS resources for sending notifications to Slack 🇺🇦
2026-07-13,terraform-aws-modules/vpn-gateway/aws/4.0.0,terraform-aws-modules,vpn-gateway,aws,5297086,False,https://github.com/terraform-aws-modules/terraform-aws-vpn-gateway,2025-11-24T09:02:34.903436Z,4.0.0,Terraform module to create AWS VPN gateway resources 🇺🇦
2026-07-13,cloudposse/lb-s3-bucket/aws/0.20.0,cloudposse,lb-s3-bucket,aws,5266214,False,https://github.com/cloudposse/terraform-aws-lb-s3-bucket,2024-05-06T08:57:45.080148Z,0.20.0,Terraform module to provision an S3 bucket with built in IAM policy to allow AWS Load Balancers to ship access logs
2026-07-13,cloudposse/rds-cluster/aws/2.6.0,cloudposse,rds-cluster,aws,5183495,False,https://github.com/cloudposse/terraform-aws-rds-cluster,2026-05-14T03:03:40.997188Z,2.6.0,Terraform module to provision an RDS Aurora cluster for MySQL or Postgres
2026-07-13,cloudposse/vpc/aws/3.0.0,cloudposse,vpc,aws,4820525,False,https://github.com/cloudposse/terraform-aws-vpc,2025-09-12T17:10:12.039624Z,3.0.0,Terraform Module that defines a VPC with public/private subnets across multiple AZs with Internet Gateways
2026-07-13,cloudposse/ecs-alb-service-task/aws/0.78.0,cloudposse,ecs-alb-service-task,aws,4648276,False,https://github.com/cloudposse/terraform-aws-ecs-alb-service-task,2025-02-13T20:39:05.247665Z,0.78.0,Terraform module which implements an ECS service which exposes a web service via ALB.
2026-07-13,cloudposse/dynamic-subnets/aws/3.1.1,cloudposse,dynamic-subnets,aws,3700502,False,https://github.com/cloudposse/terraform-aws-dynamic-subnets,2026-02-17T17:39:00.715972Z,3.1.1,Terraform module for public and private subnets provisioning in existing VPC
2026-07-13,cloudposse/acm-request-certificate/aws/0.18.1,cloudposse,acm-request-certificate,aws,3674058,False,https://github.com/cloudposse/terraform-aws-acm-request-certificate,2025-07-30T20:49:41.133091Z,0.18.1,Terraform module to request an ACM certificate for a domain name and create a CNAME record in the DNS zone to complete certificate validation
